;Name;Description;Followers
5541;ozarde;Design, IoT, AI, Metaphysics, Vedanta, Upanishads, Yoga, Sanskrit, Science, History, Politics, Philosophy, Psychology, Consciousness, Quantum, Physics;39
5542;GeoMovements;GeoMovements is an independent blog about white supremacy and trolls on social media.;39
5543;Rinzin;In the process of finding my writer’s voice.;39
5544;The Crow;Stories, poems, opinions, experiences, art, audio created by teens on http://youngwritersproject.org —  a community of respect led by young people from all over the world.;39
5545;Synthesio Engineering;A fun yet professional team of engineers that works together to build a world class Social Intelligence platform;39
5546;Shiyan Boxer;Art, Business, & Technology;39
5547;kidsNclicks;Helping kids find the balance between the offline & online word. Digital parenting tips,interviews and videos;39
5548;idealect;Stories about innovation, inclusion, diversity, design thinking, creative technology, and data. idealect is a social innovation consultancy based in Kansas City. | www.idealect.is;39
5549;thecrypto;Distributing the future;39
5550;MilitiaWatch;Miltias, ideology, and operations;39
5551;The Substrate;Searching for butterflies;39
5552;Pulse on Progress;Highlighting the progress driven by truly determined people finding new ways to work together to improve patient outcomes.;39
5553;Truth & Systems;Truth & Systems is a start-up studio based in NYC’s Meatpacking district. We create, co-found, invest in, and scale companies. We are interested in ideas that make jobs rather than take jobs, help rather than harm the environment, and promote inclusivity not divisiveness.;39
5554;Journalism and Society;Work from Fall 2018 + Spring 2019 Brooklyn College students.;39
5555;Pathways to Universal Basic Income;the case for a Universal Basic Opportunity Fund;39
5556;LiMiTeD;Learning Marketing Technology Design;39
5557;Lean-Coders;Lean-Coders is a small software company specialized in web & blockchain technology;39
5558;TeamUp Blog;All-in-one management software for top fitness businesses;39
5559;Inside Flipp;We’re the team behind the Flipp app, and we’re reinventing the way people shop. Follow us to see life inside one of Canada’s best workplaces.;39
5560;HiSocio;Stories of social scientists and contemporary society.;39
5561;Story Of The Week;Everyone’s Favorite Fiction Pub. Your dose of once upon a time,  once a week.;39
5562;The Working Writer;Making your writing business work;39
5563;bitHolla;Future Proofing Finance - Providing decentralized technologies and services through cryptocurrencies globally;39
5564;Entrepreneuryork;Learn How to Become a Successful entrepreneur to Start your own business.;39
5565;Requiem for Ink;Reflections on business, government & wisdom.;39
5566;DECENTCH;DECENT's Official Medium Account - Bringing You The Latest DECENT Updates;39
5567;Typeqast;Stories behind Typeqast, a software design and development agency;39
5568;Disciplined Entrepreneurship;Disciplined Entrepreneurship is an intensive process, created by Bill Aulet, that shows how innovation-driven entrepreneurship can be broken down into discreet behaviors and processes which can be taught in just 24 steps.;39
5569;iguanafix-engineering;Programming is breaking of one big impossible task into several very small possible tasks;39
5570;Freedom of Thought;Stories reflecting our own experiences, with blogs and articles presenting interesting perspectives on several different topics covered in today’s world through our writing.;39
5571;Inc. Startup;Ideas and perspectives you won’t find anywhere else.;39
5572;Touch4IT;We are a software development company that invents tailored solutions to ensure our clients a competitive advantage through innovations.;39
5573;Minoo W. Kim;Ball don't lie.;39
5574;FFT — Food For Thought;All things food, health, nutrition, and wellness;39
5575;Panoramic;Panoramic is an enterprise SaaS company that provides the world’s most successful brands with the tools they need to ingest and model marketing data into meaningful insights.;39
5576;TechBear;Tips, trends, how-tos and all that jazz on topics such as website design, SEO, social media, blogging, WordPress and online marketing.;39
5577;ironSource Tech Blog;At ironSource, developers build the company, not just the code. This is a blog written by our amazing engineers on the problems solved, projects initiated, and innovations pioneered at ironSource.;39
5578;Momma Cusses;An irreverant but honest look at parenting. Bring your own swear jar.;39
5579;The Writer’s Life;Resources, musings & advice on novels, screenplays & everything between;39
5580;The Critical Index;Critical Index focuses on the perspectives, stories, and data that impacts the gaming industry and community here and around the globe.;39
5581;trivago tech blog;With employees from all over the world, trivago is an international IT company operating on a very large scale to provide the best hotel search possible. This blog is the ideal place to talk about our ideas, our prototypes and our tech stack which make our vision become reality.;39
5582;The Politicist;A sociological perspective on terrorism, war, and the global economy.;39
5583;Remotely Managing;Learn from over a decade of remote working experience. As the manager of Trello’s remotely distributed marketing team, I’ll share insights into remote work from a management as well as individual standpoint.;39
5584;Revellations;Revelle's Official Student Publication, the oldest student paper at UCSD;39
5585;Communicating Planetary Health;Featuring op-eds, stories, and interviews showcasing the voices of educators, students, researchers, policy makers, and others from around the world;39
5586;Sound and Design;Open for Submissions. Email a link to info @ pixelphonics DOT ltd;39
5587;Gladwellian Success Scholarly Magazine;An Inquiry scholarly magazine by students at Bethel University, St. Paul, Minn.;39
5588;The REDHILL Review;Strategic insights from REDHILL, a global communications agency.;39
5589;practicaldesign;Practical Design;39
5590;Curated Careers;What does fulfilling work really mean? How do you really ‘find your passion’? Curated Careers aims to answer some of the big questions around how to create and curate a career you love.;39
5591;Prifina;Prifina provides developer tools to build applications on user-held data and empower individuals with their personal data.;39
5592;Industry Experts;Industry Experts is a publication focused on the experts. Covering topics in art, tech, and business. Our experts voice their opinions! Want to write for the Industry Experts publication? Visit “guidelines” for more info.;39
5593;Zendrive Engineering;Insights from Engineering and Data Science;39
5594;Better By __;At The Office of Experience, we believe the experience is the brand®. The best brand experiences are better by design. But they’re also better by strategy, technology, and message. Better By explores the ways in which the world around us is made better by design.;39
5595;Technology @ Funding Societies | Modalku;Funding Societies | Modalku is a licensed digital lending platform that connects small and medium-sized businesses with retail and institutional lenders.;39
5596;1–2 Percent;No-nonsense fitness advice to help you build your dream body. Backed by science, proven in life.;38
5597;Sleepless in the San Fernando Valley;By Robin Finn — She’s sweaty. She has to pee. She has teenagers. No wonder she can’t sleep.(Photo: Steven Pahel/Unsplash);38
5598;Modern Ruin;Travel from a Different Angle;38
5599;The Happiness Quest;An exploration of the nature of happiness, what contributes to it, and the human desire to achieve it.;38
5600;fiddlerlabs;We’re building a new kind of ML platform to help enterprises accelerate adoption of AI.;38
5601;Candles;Connecting designers globally.;38
5602;The Indo-Swede;The journal of an Indian dreamer in Sweden dealing with new people, a new culture, new ways of living.;38
5603;ardent path journal;Mission: To positively influence others to exceed or achieve their goals one bite-size step at a time. We’re here to help you thrive.;38
5604;Fincura Engineering;Building The Future of Portfolio Management;38
5605;wirecube software engineering;Tales about the lives of developers and sysadmins at wirecube, a team of technology enthusiasts based in Graz, Austria.;38
5606;Beautystack;Beautystack Team Blog;38
5607;Symbiont;Symbiont is the enterprise fintech company creating the next generation of financial markets infrastructure using blockchain technology.;38
5608;Kindbody;Fertility and wellness that fits your life.;38
5609;Spark-it;The Spark-it Medium Blog;38
5610;Kainos Applied Innovation;Blogs from the Applied Innovation team at Kainos.;38
5611;Higher Order;A quest to be better, do better and create better for the greater good.;38
5612;The Learning Designers’ Toolkit;Helping each other design great online learning experiences. A blog by OpenLearning.;38
5613;Parkdale Centre for Innovation;Parkdale Centre is Canadian not for profit incubator & accelerator committed to making entrepreneurial & professional skills accessible with a focus on equity. We will be sharing reflections, learning & stories from our programs & members.;38
5614;Kontinentalist;Mapping stories, bridging gaps;38
5615;Morbid;Morbidly obese and loving life anyway.;38
5616;For Women Who Roar;For Women Who Roar is a small press, podcast, and storytelling platform committed to elevating women’s voices from around the world.;38
5617;teacherspayteachers;Stories from the team at Teachers Pay Teachers.;38
5618;Tinder[ella] Chronicles;A home for all my sexy content! You can expect to find my sex tips, erotica, embarrassing stories and more!;38
5619;machine_learning_eli5;Machine Learning and Data Science concepts explained in layman terms.;38
5620;Prolific Anthology;Helping you live a creative & artistic life.;38
5621;Scalable Analysis;Looking at institutions, systems, and scenarios.;38
5622;Narrative UX Crew;Sweet home of Narrative UX, Design & UX Writing;38
5623;Spec;Always fresh. Always political.;38
5624;Arete Stories;Arete is the expert storytelling and training agency for NGOs, UN bodies and foundations.;38
5625;The York Review;Creative Publishing | York College of Pennsylvania | Undergraduate Work| #WriteOnTYR;38
5626;Breathe Life;Breathe Life’s mission is to power the insurance world with innovative technology that delivers seamless experiences to consumers and industry experts alike.;38
5627;RockedScience;Tutorials, tips and fast news on Cloud, DevOps and Code;38
5628;Mindhive Insider;A collection of insights from our global thought leader community. A place for the curious.;38
5629;env0;env0 blog post;38
5630;Loadmill;Release Faster With No Regression;38
5631;Software QE;We want contributors! If you have something to say about software testing, quality engineering or a related topic, we want to hear from you. Let’s make the software world a higher quality place!;38
5632;Apache Pinot Developer Blog;Developer content for developers and operators working with Apache Pinot to build real-time analytics on big data streams.;38
5633;Reckless Speculations;Fiction, Humor and Games - All Speculative, except the games;38
5634;Share The Love;A publication that is dedicated to sharing poetry. Why not visit our facebook page;38
5635;The Spice Rack;The newest and neatest in technology, design, and creative marketing, brought to you by the agency that lives at the (very exciting) intersection of it all.;37
5636;Challenges to Democracy;Challenges to Democracy is the blog of the Democratic Governance Program at the Ash Center for Democratic Governance and Innovation, Harvard Kennedy School.;37
5637;Software’s Giant Leap;The story of how the Apollo missions changed software;37
5638;Under Armour Makers;Behind the design and engineering of the world's largest health and fitness community.;37
5639;Wild Adventure;Travel stories from around the world;37
5640;The Creative Journey;A timeless path to discovery;37
5641;flatland;Flatland agency for visual thinking, url: http://flatland.agency;37
5642;Kesha Ventures;Topics of interest.;37
5643;Talking Education;Delivering life-changing education where it's needed most;37
5644;TalkPlant;Science blog — Complicated science explained simply;37
5645;Dr Jon Brock;Science writings: Neuroscience, psychology, science publishing, open science, science communication;37
5646;The OAK’S LAB Cache;Grab your weekly tech insights here.;37
5647;Minor Clash;Poetry, Short Stories, and Other Musings;37
5648;Game Design Fundamentals;The focus of CS247G is an introduction to theory and practice of the design of games. We will make digital games (or paper/analog, if approved by the teaching team), do rapid iteration, and run user research studies appropriate to game design.;37
5649;/masc: Conversations on Modern Masculinity;/masc is a space for conversation and creative exploration of modern masculinity. Posts are authored by Promundo Writing Fellows, a cohort of individuals with forward-thinking perspectives on masculinity and a passion for achieving gender equality.;37
5650;Grey Swan Digital;Price Sharing will provide all of the benefits of the $500 Trillion derivatives market to people that desperately need them, but are unserved by conventional markets.;37
5651;Botify Labs;Botify Engineering Blog — Where Botify Engineers share their day-to-day learnings.;37
5652;GREEN HORIZONS;Environmental Journalism from Whittier College;37
5653;Open Data Literacy;An education and research project focused on improving the accessibility of open data.;37
5654;Peter Osnos’ Platform;Perspectives on journalism and publishing from a longtime journalist and publisher;37
5655;Happy Healthy Wealthy Productive Sustainable;Exploring the art of Life Efficiency: good for the individual, great for the world!;37
5656;Inspiring Science;Inspiring a love for Science!;37
5657;Moonshot-Internet;Moonshot-Internet is an Insurtech which develops usage-based insurance products and services dedicated to E-Commerce.;37
5658;Seed to Scale Advisors;Advisory services for early stage tech companies.;37
5659;New Ventures Asia;We promote clean tech innovation, environmental entrepreneurship and triple bottom line investing;37
5660;The Crumpled Page;Personal Memoirs About Writing Through Life’s Unlikely Debacles;37
5661;Medication Health News;This is a publication for the Center for Drug Information and Natural Products at MCPHS University;37
5662;TheQueenBuzz;Mom and Pops . Fashion & Beauty . DIY . Foodie Heaven . Fitness Motivation . Health & Wellness . Social Sunday . Welcome to the home of The QB;37
5663;Dictionary Engineering;Dictionary.com's engineering blog;37
5664;KBDev;French Developers from Bordeaux doing amazing articles;37
5665;thecontextmag;The Context is an independently-run student magazine that provides a platform for ideas, discussions, and dialogue on Art, Culture and Politics. Interested in contributing? Email us at: contact.thecontext@gmail.com;37
5666;Rose Rocket;A blog from the people at Rose Rocket about trends in the trucking industry.;37
5667;Communities for Conservation;A WCS blog on securing nature for people and wildlife.;37
5668;Domo UX;Domo is a computer software company based in American Fork, Utah. It specializes in business intelligence tools and data visualization. Domo is the operating system that allows you to run your entire business on your phone. These are the designers that make it happen.;37
5669;Mara Movies;Mara Reinstein, former film critic for Us Weekly and certified Top Critic on Rotten Tomatoes, is now reviewing movies and blogging and gossiping and covering festivals at MaraMovies.com. Don’t hate her for loving La La Land.;37
5670;Of Horizons;Writings from Simon de la Rouviere about life and everything else.;37
5671;Liberation Notes;A blog and weekly newsletter on meditation practice. Sign up at http://eepurl.com/ZGF-L.;37
5672;QTFT;Quantum Technology Foundation of Thailand;37
5673;Vienna;A lifestyle publication for those who refuse to settle. Meet the side hustlers, full-time hustlers, lawyers-turned-bakers & everyone in between, and get the inspiration you need for even the most unconventional career journey. No college degree necessary. https://mailchi.mp/83e53;37
5674;culinaryclubiitr;Where food meets crazy students;37
5675;The Deep Listen;The Deep Listen is a Loup publication. We write and collect stories that move us, celebrate our network, and share our creative process. Guest posts and contributors welcome!;37
5676;Woody Lewis;Blockchain enterprise strategy;37
5677;Genesis Media;#1 in emerging countries;37
5678;DronaMaps;Drones| Mapping| Impact;37
5679;Minnimal;Film independence celebrated;37
5680;P for Parenting;Thoughts, stories and rants on raising better parents and parenting better kids;37
5681;It’s Never Too Late;Round Europe in a Beetle;37
5682;POLARIZED;A PHOTOGRAPHIC CONVERSATION;36
5683;CIRCULARITY;On a mission to transform linear economy into a circular economy.;36
5684;Designfeld;Designfeld is a comedy series about a UX Designer and his fellow UX Writer, in their struggle to find… they don't even know what they're struggling to find, they just want to share their views on Design and why it can get quirky.;36
5685;tCheck;tCheck is an infusion potency tester used to collect live readings of your sample  in minutes for commercial or personal use.;36
5686;EverestEngineering;We are a community of free thinking technology radicals delivering customer obsessive software.;36
5687;That Odd Mom;Parenting, Homeschool, Food, Fun, and Health — Embrace the Quirk!;36
5688;What Comes Next, by Invoke;Invoke helps world-class brands and startups create the next generation of digital products.;36
5689;SoapBox Editorial;The Editorial branch of SoapBox Productions and Organizing features diverse written work that fosters fresh perspectives and radically imaginative takes on politics, culture, media, and society centered around structural social change and a more equitable world.;36
5690;likeutopiamusic;We believe in unlocking the music industry’s full potential by unifying it all in one holistic space. We call it Utopia — Where music lives. utopiamusic.com;36
5691;Chromatic FM;Away from the age of boring, repetitive, commercial-interrupted, & algorithm-controlled radio. Chromatic FM is a platform for tastemakers & listeners to connect & share content they’re currently jammin’ to.;36
5692;Blockchains: An Informal Deep Dive;A blog by Zain Admani that documents my deep dive into the technical working and evolution of blockchain technology and distributed systems in general. The goal is to document my findings in the order to help others understand the technology and how we got to where we are.;36
5693;Deeper Insight;Market analysis of startup, chemistry, organic food;36
5694;Renew Theaters;News & notes from the County, Ambler, Hiway and Princeton Garden Theaters.;36
5695;WOMEN’S WAY;WOMEN’S WAY is the Greater Philadelphia region’s leading nonprofit organization dedicated to the advancement of women, girls, and gender equality.;36
5696;Gridiron AI;AI, data science, and analysis for fantasy football;36
5697;The Honest Author;Writing tips, advice and funnies. It’s writing, but honest.;36
5698;Tally;The world’s first automated debt manager;36
5699;My Mental Health Journey;My mental health journey through bipolar disorder and PTSD.;36
5700;The Couch;This isn't where I left my website;36
5701;Got Jobs?;Stories and data showing dairy creates jobs and exports create more jobs.;36
5702;Klug.Chat;Klüg Wizeline’s conversational UI business. It’s differentiated by a secure multi-tenant platform that brings bots rapidly to market and makes them efficient to maintain. Klüg means wise or shrewd in German. Learn more at Klug.chat;36
5703;TheBattleground.eu;NEWS MATTERS IN CRITICAL  TIMES — Whether it is migration, climate change, populism or globalisation, The Battleground will look behind the news headlines, provide context, perspective and clarity where there is confusion and conflict. Ultimately it is about defending democracy.;36
5704;The RangeForce CyberSecurity Blog;Learn more about how to bring security into your systems, anticipate and fend off attacks on business critical assets.;36
5705;Open Road @ Ross;Open Road @ Ross is an established action-based social entrepreneurship program developed by Ross students and financially supported by the Ford Motor Company;36
5706;Apprentice Journal;Stories and articles designed to introduce and grow mastery of machine learning, artificial intelligence, data science, and visualization.;36
5707;HENDON;For the Culture;36
5708;Mark Dalton;Photography. Technology. Social Media. Opinion.;36
5709;ASU Herberger Institute for Design and the Arts;Our goal is to position designers, artists and arts-based inquiry at the center of public life and to prepare our students to use their creative capacities to advance culture, build community, and imaginatively address today’s most pressing challenges. herbergerinstitute.asu.edu;36
5710;Akeo.tech;Official Medium publication for Akeo.Tech focusing on innovation and spreading awareness about technologies that can disrupt current business models. Follow us to get deep insights into blockchain, AI & ML, Fintech, and Industry 4.0. More info at — www.akeo.tech;36
5711;The Designest;We got tons of fascinating design articles, videos and freebies to share!;36
5712;Insights from U4 Anti-Corruption Resource Centre;Improve your sustainable development work — with less corruption;36
5713;Triangirls;F*ck ups, masturbation and pay negotiation — Not your average women in tech event. A femme-friendly community, we meet monthly.;36
5714;The Mustard Seed Magazine;A ministry of Mustard Seed Publications designed to help Christians come alive to the wonder, beauty, and transforming power of the gospel by magnifying the cross of Jesus in every book, article, and small group study we create.;36
5715;Defeat the Virus;A resource kit that will defeat the virus and restore our way of life;36
5716;Goodbets Press;Goodbets Press is a practice and publication focused on providing support, advice, and knowledge for social entrepreneurs.;36
5717;The Freelance Guidebook;Everything You Need to Know About Freelancing;36
5718;Statecraft Magazine;Statecraft is run by the UQ Politics Philosophy & Economics Society, and is a new home for students interested in understanding the world around us.;36
5719;Cognite;Go deeper into industrial digitalization with stories straight from our developers, engineers, data scientists, and partners. Our contributors are on the frontlines of the global energy transition, industrial transformation, and issues related to cybersecurity and sustainability.;36
5720;Variant Bio;Variant Bio is developing therapies that will improve global health by studying the genes of people who are outliers for medically relevant traits.;36
5721;Breaking Down The System;ACRE staff tackle a topic of interest in a simple, easy to read format;36
5722;Tedium;A twice-a-week newsletter that hunts for the end of the long tail. We’re featuring highlights from Tedium on Medium—be sure to check out our website for more.;36
5723;Gen-Y;We are a small team of tech enthusiasts studying at SRM Institute of Science and Technology. This blog will be a cumulative attempt to share our experiences and also promote new technologies. You can visit www.geny.co.in for a peek at some of our accomplishments and projects.;36
5724;Fishbrain;We make an app for fishing, the world’s most popular hobby.;36
5725;GAMMASTACK;Gammastack Blog;36
5726;The Particle;A collective of science communicators and science enthusiasts, writing about what matters in accessible terms.;36
5727;DevClub DYPCOE;The latest posts from students of D. Y. Patil College of Engineering, Pune.;36
5728;St. Louis Fed;At work, school or play, everyone is part of the economy — discover it here. (Managed by the Federal Reserve Bank of St. Louis.);36
5729;Unearth;Critigen serves non-government organizations, not-for-profits, private and public donors to implement technology solutions that improve the efficiency and effectiveness by which our partner organizations achieve their missions.;36
5730;TheCyPhy;The CyPhy is a group of curious minds trying to understand and explain data better;36
5731;Digital Privacy Wise;Be Aware. Become Wiser.;36
5732;Structured Ramblings;Product development, data science, machine learning, and other odds and ends;36
5733;The Scale Factory;We empower technology teams to deliver more on the cloud;35
5734;The Cogs and Gears Storyteller;Storytelling as an experience for writers and readers. How stories work their way into our lives;35
5735;API Integration Essentials;APIs enable connecting today’s businesses to consumers. Read the articles in this publication to understand how APIs can facilitate your business for digital transformation.;35
5736;Fusion at Optum;Fusion is an accelerator, empowering teams across UHG. We empower teams to define a bold vision, get in the mind of users, and deliver products and experiences to market, faster. We are employees of UHG and these views are our own and not those of the company or its affiliaites.;35
5737;Copse Magazine;"Life Centric. An integrated approach to a positive life; a magazine looking holistically at family, home, life, travel, and work. Copse is about the whole life; covering family & parenting, house & decorating, life & wellbeing, travel & tourism, work & business.";35
5738;Design and Innovation at ISDI;Bringing Design and Innovation to you.;35
5739;Pareture;Software Delivery.;35
5740;The Silver Mine;To get the real answers, dig deeper.;35
5741;Templeton World;Official blog of the Templeton World Charity Foundation;35
5742;YES PLZ;The Yes Plz Weekly is an insanely delicious, ever-evolving mix of the best coffees, roasted fresh, accompanied by a gratuitously eclectic magazine produced by our small team of weirdos. Available exclusively online and at select stockists. Tell a friend.;35
5743;Ask A Nurse;Comprehensive health promotion and educational articles to help you understand your health. Written by Gillian May, a nurse with a Master’s degree and 20 years of clinical and teaching experience in hospitals, community and educational facilities.;35
5744;Go Wombat Team;Go Wombat Team Blog;35
5745;CX Tokopedia;Get closer than ever to your customers;35
5746;Love First;A Renaissance of the Heart;35
5747;Injurymap;Injurymap | physical exercise and pain management;35
5748;Gebeya Inc.;A Pan African Ed Tech and online Marketplace company that nurtures African tech talents and outsources them to continental and global clients.;35
5749;Similar.ai;Similar.ai helps SEO & Content Managers grow organic revenue by 50% in 3 months.;35
5750;siddhi-io;Siddhi is a cloud native, open source, lightweight, stream processing and complex event processing engine.;35
5751;Sporting Chance Magazine;Long form sports journalism that gives an insight into sports of a variety of codes and levels.;35
5752;Harbor School (하버 스쿨);We make a new educational way for the digital generation;35
5753;creaffective;Innovationsberatung aus München;35
5754;Scalia;Scalia is a collaborative data integration web platform launched in 2016. Scalia offers an innovative tech-driven and user friendly solution to meet the current and future needs of the B2B ecosystem: collect, consolidate, control and enrich their product data.;35
5755;4mation Technologies;Stories, thoughts, insights, and arguments about all things Digital from the brains at 4mation;35
5756;What Liz Learnt;A collection of weekly reflections of what I have learnt this week as a Digital Product Designer;35
5757;Layer7 AI;We are a spin-off of the University of Tübingen and help companies master the #AI #revolution by building a bridge between cutting-edge #AI #research and the business world. Find out more @ www.layer7.ai.;35
5758;Damn Interesting;Science, History & Psychology since 2005;35
5759;Seamfix Engineering;Get to know us. Our stunning engineers, the technologies we love and how we make the world a better place;35
5760;Things Lab;We make things!;35
5761;Black Guys in a Box;A Wakanda Social Club Production;35
5762;Oberon;We make the online world beautiful, easy and insightful;35
5763;Daily Colors;A themed exploration of color from every day life. Photos and writing combine to evoke emotion and tell the story behind the photo.;35
5764;GoodVision;Collecting traffic data from camera recordings through Artificial Intelligence;35
5765;Upside Team Blog;Our goal is to be the best travel company on earth. Our strategy is our culture.;35
5766;Ahnna Marie — Essays;Essays of Ahnna Marie;35
5767;100-Days-of-ML-and-Code;A series of posts on the 100 days of Machine Learning and Coding challenges;35
5768;Be Your Best Self;Self-improvement for people who want to lead better lives;35
5769;METAPHORICALLY;Sharing thoughts of our world view;35
5770;The Compendia Project;Investigative Journalism Exposing A Corrupt Machine;35
5771;Veronica Haunani Fitzhugh;I Write To Understand;35
5772;PlanGrid Design;Stories from the Design Team at PlanGrid;35
5773;Boxed Tech Blog;All the cool stuff Boxed’s engineers are working on!;35
5774;MaddiStrokeofLuck;Hi, my name is Maddi. In this journal I share my journey with stroke rehabilitation, in the hopes that by sharing my experience I can empower and inspire others to find ways to repurpose or find meaning even in the face of hardship. I hope you enjoy.;35
5775;xoxo, Demeter;Relationship, Dating, and Love Advice from Demeter deLune;35
5776;Traveling through History;A publication focused on presenting individuals, locations, objects, and events from history to encourage knowledge of our shared past.;35
5777;Mendix Community;The community-sourced publication for low-code;35
5778;Gay To The Point;Life through the LGBTQI lens.;35
5779;Alphagreen | CBD Blog | Educate, Empower, Enhance;Alphagreen provides a curated portal for leading quality CBD wellness brands. Working closely with established and trustworthy products from around the world, we deliver best results for anxiety, pain, stress, sleep, beauty and overall well-being. Explore at alphagreen.io;35
5780;Supermaker.com;Community for startups & creators.;35
5781;Modern Polymaths;At Modern Polymaths, we believe the world is too amazing for us to be idle or obstinate. We want to see, taste and touch all that the world has to offer. Our goal is make the world a better place by helping individuals become better people. We invite you to join us.;35
5782;Life In Quarantine;Read about stories in quarantine and how Covid19 changed the world as we know it;35
5783;Memsource Engineering Blog;Gifted engineers sharing their knowledge, best practices, and ideas.;35
5784;Picasso Labs blog;We explore the ways that data can make advertising better.;35
5785;Trauma Breakthrough;raising awareness about childhood abuse and trauma — for survivors and supporters — www.traumabreakthrough.org;35
5786;Mobile Studio India;We are a digitally native company where innovation, design, and engineering meet scale. We use the latest technologies in the digital and cognitive fields to empower organizations in every aspect.;35
5787;DANA Engineering;DANA Engineering Blog;35
5788;The Epiphany;One part field manual, one part inspiration — The Epiphany is a new publication that celebrates the flashes of insight that illuminate our way forward.;35
5789;Ryan's Dev Notes;work journal | aha-moments | tech stuff;34
5790;Insight Sprint;Insight Sprint gives people access to the most advanced insight in the most accessible way;34
5791;Sex With TS;Your guide to great sex.;34
5792;Philosophy Studios;Wisdom from the ages: Approach fundamental problems in a new way. To enrich your life.;34
5793;Distant Horizons;Interesting bits & pieces from all of us at Bornfight.;34
5794;BCW Global;BCW (Burson Cohn & Wolfe) is a new kind communications agency. Our business is moving people. We inspire action and make connections for clients worldwide.;34
5795;MONØMANIA;For the Love of Black & White;34
5796;Fauna;The world’s best serverless database with native GraphQL.;34
5797;BrewBroker;No Barriers Between You and Your Brew;34
5798;BetterToday;Improve yourself, your business and your life. Right now.;34
5799;Environmental Education;See what's going on with the Conservancy Environmental Education Department.;34
5800;The Single Momma Memoir;Stories for and about the mommas doing it for their babies, on their own.;34
5801;ObjectSharp;Toronto’s Premier Cloud-First Digital Transformation Company, Experts in the Microsoft Azure Stack.;34
5802;LUFC Blog;Blog about Leeds United FC.;34
5803;Scalarr;Scalarr is the Machine Learning-based fraud detection solution to protect against mobile ad fraud and prevent marketing losses.;34
5804;Princeton Systems Course;Course projects for Advanced Computer Systems (COS-518) class.;34
5805;Seamless Bay Area;Campaigning for a seamless, world-class transit system in the SF Bay Area;34
5806;Inside Doctrine;Stories from the people who build Doctrine;34
5807;The Arcade;Making you smarter about video games and interactive media.;34
5808;cssclass.com;Open-source projects, articles, tutorials and more.;34
5809;Dave Dame;Leading with Imperfect Feet — Leadership Blog and learnings from the trenches;34
5810;JUST FASHION;Radically reimagining the fashion industry with equity and justice for all. We are writers and industry professionals discussing not only why the fashion industry needs to change, but how to do it.;34
5811;Grey Sky Days;From the soul, for the soul. Articles on Mental health, creativity, introversion & self-employment.;34
5812;irevuo;art. popular since 10,000 B.C.;34
5813;rtkal;A nice publication sharing thoughts, ideas, code and knowledge;34
5814;The Realm of Color;An exploration of color theory and art history.;34
5815;Books Are Our Superpower;Book reviews, recommendations, summaries, rants — as long as it is related to books, your piece is welcome here. We aim to build a community of book lovers sharing about the books that moved them the most.;34
5816;Data/ML Engineering with Databricks;This is series of blogs on Data Engineering and distributed Machine Learning using Databricks;34
5817;The Personal Growth Bible;The sister publication to The Productivity Bible, The Personal Growth Bible fosters self-improvement for one to improve their human condition.;34
5818;A Dose of Curiosity;A Dose of Curiosity is a blog exploring small questions with big answers.;34
5819;Skim Technologies;Our thoughts & insights on the world of AI;34
5820;The Blockchain Bench;Focused on Blockchain Law & Cryptocurrency Mass Adoption;34
5821;mookie's opinions;just personal thoughts. mostly politics, economics, sometimes tv & movies. entrepreneur. writer. co-founder, Mookerjee & Pandeji. check us out at Mookerjeepandeji.com.;34
5822;The PHORIA Project;We’re an immersive tech studio pioneering experiences in the XR Verse;34
5823;Very Thoughtful;Opinions and shared thoughts on engineering, design, business, and technology. Working remotely since 2011. Learn more at verypossible.com.;34
5824;Kaleb Heitzman;On Stories + Faith;34
5825;The Psychologist;Simple tips to improve your relationships and reach goals with more ease.;34
5826;AngelHub;Hong Kong’s first regulated startup investment platform for professional investors and global startups raising growth capital.;34
5827;The Modern Domestic Woman;The MDW conversation includes everything that encompasses being a modern woman in the world today.;34
5828;Buckham & Duffy Insights;Articles on digital transformation and insights into the technologies of tomorrow.;34
5829;This is Valencia;Stories of people and places in Valencia, Spain by students enrolled in ieiMedia's study abroad program for journalism.;34
5830;Expload;A Platform for the Development and Distribution of Open-Economy Games;34
5831;Machine Learning Magazine;Machine Learning made simple.;34
5832;On the Block;A blog about all things blockchain with a mission of introducing people to the future. On the Block explores topics ranging from blockchain basics to the viability of emerging cryptos and applications being built with smart contracts.;34
5833;Kaodim Engineering;Notes on software development, delivery and design.;34
5834;Elektra Labs;Advancing digital medicine in clinical research and care;34
5835;Kinetic Dial;Software Engineering and other thoughts;34
5836;Think Decentralized;Think Decentralized;34
5837;Benilde HiFi;HiFidelity— Stories of Social Innovation from Benilde and Beyond;34
5838;The Engine;We are a home for Tough Tech founders building the next generation of world-changing companies. Visit us at engine.xyz.;33
5839;Kitatus;A collection of game development related write-ups, break downs and a whole truckload of games industry analysis. There’s even tutorials and guides to help take your project to the next level!;33
5840;Deru Kugi;Immovable Object;33
5841;Fruitful.zone;How can we have more friendly and diverse conversations with one another?;33
5842;UWCCF;UWCCF student blog;33
5843;grandstudio;We are a digital strategy and product design consultancy in Chicago.;33
5844;THE RELEVANCE HOUSE.;We help you building, designing & delivering a relevant brand & story. Because only relevance has impact.;33
5845;The Digital Biologist;Dispatches from the new frontier in computational biology;33
